,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Abkhazia
Afghanistan,472.05349959347,,,,,,,,,,,,,,,,,,,,472.05349959347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.378641903136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.318795389142,766.752197402054,779.44531446281,812.856279479195,815.35952134691,816.414838035311,837.066935406928,820.853029629645,849.740069478856,856.228843403318,868.498222588053,857.358654882083,853.100709991072,849.444717680397,846.267281765072,845.22066173728,833.614056241455,836.197138197653,845.079978553216,837.620774345246,833.315923359967,773.695137773372,739.981105812534,803.486536923231,825.58003120264,846.442402508526,866.192480568929,786.113359958181,827.092154818656,809.074114321196,810.431624893938,896.860746392093,978.011438791904,1013.13273629217,994.571243991093,961.924184798108,1030.88806745381,852.395944816645,770.010794019077,751.441273957438,709.504941901079,705.445798661072,649.341395157402,558.85324144129,500.449447347788,601.874209874185,617.910635977866,635.341351017988,653.296853334239,670.987220917247,663.909877731095,595.038741036515,726.734054779544,785.127571108213,804.717457749025,874,910.377314686328,1012.61169524066,1019.35761384621,1216.68487217975
Akrotiri and Dhekelia
Albania,601.215222388559,,,,,,,,,,,,,,,,,,,,613.827380822366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.673571883006,,,,,,,,,,,,,,,,,,,,914.810691106364,,,,,,,,,,1048.25922763619,,,,,,,,,,1194.12850264391,,,1240.60396618462,,,,,,,,,,,,,,,,1417.52960576583,,,,,,,,,,,,,,,,,,,,,1532.3539321781,1598.49274970246,1601.05613632982,1665.79473669905,1714.68877618169,1807.13058686107,1825.30248740848,1942.28424417251,2029.78958534169,2113.34660578154,2220.34269647724,2238.78743670272,2312.88895774055,2391.77961601132,2473.69710013055,2563.94557351866,2660.07483654155,2760.19693055431,2859.81201277126,2956.93736008304,3066.0229334948,3188.57728074174,3313.42218810088,3478.45916929956,3491.42659688276,3503.59174172342,3517.61562701541,3533.00391004821,3549.26494664477,3566.56881033051,3591.7556033401,3611.02554004799,3630.88072218604,3652.07617360155,3672.86753872322,3692.08963082379,3715.54970572814,3738.93273535973,3762.60654447423,3790.98170101084,3824.84799474551,2717.56828978611,2497.43790090032,2716.64619280324,2918.81669780969,3285.53473487082,3569.59450622406,3193.05460353875,3584.77319666884,3928.27513771936,4195.21036763768,4476.0451660371,4604.21173734186,4855.21002368607,5115.25283737324,5369,5635.21362192962,5967.01565672755,6399.80604796644,6546.26928018364
Algeria,766.253664378884,,,,,,,,,,,,,,,,,,,,765.876054358006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.76350234008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.76466813732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.21370435628,2397.53111122672,2449.00818535148,2436.33995024701,2557.81850727563,2572.47444340732,2764.42362881141,3013.97602290862,3059.5768653896,3548.41602232655,3716.78867942314,3202.96261970378,2550.81687982835,3146.57863037047,3214.43660870967,3327.99122040643,3070.75339207156,3246.99177120866,3519.79411606818,3747.74452761775,4003.57359003787,3559.34990880386,4182.66376569336,4194.60334945108,4320.9593075318,4489.03498567229,4642.62341062526,4910.4167564913,5373.1662882663,5682.0337082876,5610.19630482258,5573.37959077939,5745.16021293762,5853.65621822806,5986.54203777547,6107.18101310772,5876.04809516284,5681.35853922344,5415.9862639545,5457.74556879201,5244.50961212113,5061.30346391376,5023.21664742035,4800.3171165056,4652.84115320986,4732.43300025754,4824.21247527764,4797.29505081149,4965.22836091317,5048.6155656488,5098.85356434079,5156.44740499925,5288.04038182766,5576.85156410152,5790.96769240897,6011,5969.05106848622,6040.8879089793,6175.09867923818,6207.16910649711
American Samoa,674.453726335164,,,,,,,,,,,,,,,,,,,,674.453726335164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.804756154202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.14474008783,,,,,,,,,,,,,,,,,,,,,,,6284.32589164943,,,,,,,,,,,,,,,,,6497.34472429965,,,,,,,,,,,7776.46161999892,,,,9617.82172590264,10059.265916979
Andorra,1260.12325620895,,,,,,,,,,,,,,,,,,,,1302.61211822188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3856.48329468288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32386.8513591616,32191.4346902732,33080.0082287757,33951.7892792275,34247.0908849396,33016.1723052794,32840.7941726404,32632.6351789226,32006.0431439996,30833.014406041,30183.8586043985,28684.5751426028,27523.3572205509,26568.2020786384,25820.2986376618,25465.8049206724,25621.5372794759,26576.0008008038,27517.7136072597,28281.8933930064,28511.1832634434,28091.122477675,27041.0171246327,25514.0385202786,25092.4327022828,25063.7690551698,25839.0650587233,28057.4713621957,28982.1382160595,30144.9716557499,30265.9410535338,33293.0005273776,34485.4835229009,35925.2782828301,37427.6063160504,39002.4098291062,40650.3762895928,40489.345945915,41350.3911798936
Angola,359.93,,,,,,,,,,,,,,,,,,,,359.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363.02176929874,3440.90138989874,3520.61027255607,3598.80554389846,3450.82022791,3672.08157291099,3549.03534337306,3827.94046481177,3966.41504370971,3917.76117408237,4006.20630240528,4463.82592323335,4269.27674188414,4413.59639931086,4826.48811301664,5102.21021356798,5308.1361809455,5522.7763745902,5346.62749933096,5408.11939639166,5651.88286702733,5526.21139597585,5473.28800494457,5722.02372628606,5470.21203791969,3430.84872188868,3050.31582558262,3008.6473549265,3070.81648993941,3064.88794035398,3074.74554268081,2953.40672590544,2756.95367186443,2584.55704550339,2527.46791401664,2492.8321322462,2220.60533240043,2430.20831133157,2728.52990179482,2730.55888427358,2777.41763054795,2730.85423766519,2627.84568498613,1869.92375309381,1851.44626956352,1989.02468149384,2157.35209724093,2277.14088401006,2384.4792585215,2417.18102137464,2446.64587311703,2479.69022868301,2773.28731173818,2785.39395693837,3007.11459524883,3533,4069.56361304255,4755.46072841926,5228.73967605263,5055.58613258295
Anguilla,775.668710588828,,,,,,,,,,,,,,,,,,,,775.668710588828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.14753128203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5689.45654435114,5475.31785836185,6031.55382095293,6214.20607418148,6148.6847016514,6318.47807782358,6393.50692529047,6391.27642386282,6858.38516527715,7507.02869242941,7866.61868295851,8151.64195083901,8050.17897429598,8015.96617909399,8263.6471196852,8975.70578844904,9911.09364904067,10604.3480759344,11605.7441832381,12220.7691108264,12335.0144596966,11709.2870866924,12197.8264962601,12770.8347596477,13477.4158857628,12888.0937698926,12957.8065430059,14096.1282675908,15298.7688253213,15611.946137912,15551.7256419812,15678.6720726032,15179.2600488362,15300.1115358929,18278.821179266,19478.9009652012,22964.7797463607,26971.3248284203,30376.8186186163
Antigua and Barbuda,538.376199022954,,,,,,,,,,,,,,,,,,,,538.376199022954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.33098991166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948.93844116619,4138.46959451169,4333.74453294495,4597.8300450111,4676.11480474893,4382.06644610643,3991.80498784544,4319.59397107148,4535.03599611547,5105.69039194974,5532.03143513707,5882.22466026011,5973.22056719064,6453.08807924106,7024.11140744931,7693.92384820628,8513.74369756916,9474.13768887535,10425.22689775,11211.4388645536,11573.5614366675,11751.6022621023,11677.3536134108,12036.981411064,12477.5486885785,11650.3560907605,12104.5205108189,12387.2807220904,12613.1599338411,12826.309853315,12738.744630553,12770.7392517543,12874.342594994,13346.2816401663,14114.0915016707,14579,16277.7755132957,17146.8494312778,17258.2056718716,15933.5311542156
